Class_81,Class_71,Class_82,Class_95,Class_41,Class_52,Class_31,Class_42,Class_21,Class_43,Class_11,Class_22,Class_sum,Class_12,Class_23,Class_24,Class_90,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01802710,78,1550236201,00,VI,78,A,+18.3267480,0,9,United States Virgin Islands,-064.9712508,G4000,348021896,00000000000000000022
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01779809,69,4644252461,00,MP,69,A,+14.9367835,0,9,Commonwealth of the Northern Mariana Islands,+145.6010210,G4000,472292529,00000000000000000023
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01802705,66,934337453,00,GU,66,A,+13.4382886,0,9,Guam,+144.7729493,G4000,543555840,00000000000000000024
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01802701,60,1307243754,00,AS,60,A,-14.2671590,0,9,American Samoa,-170.6682674,G4000,197759063,00000000000000000029
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,01779808,72,4922382562,00,PR,72,A,+18.2176480,0,9,Puerto Rico,-066.4107992,G4000,8868896030,00000000000000000031
81.09,50.85,17.48,31.64,858.79,29.34,27.94,101.95,104.92,401.81,1314.45,143.92,4000.74,0,350.3,141.33,344.93,01219835,44,1323670487,00,RI,44,A,+41.5974187,1,1,Rhode Island,-071.5272723,G4000,2677779902,00000000000000000005
719.46,121.58,70.56,103.72,5293.13,177.91,75.16,4370.31,524.16,9100.65,1024.79,509.93,24215.510000000002,0,413.06,108.12,1602.97,01779794,33,1026675248,00,NH,33,A,+43.6726907,1,1,New Hampshire,-071.5843145,G4000,23189413166,00000000000000000007
3141.23,45.86,434.74,114.32,9588.68,74.28,33.12,3129.44,387.45,5400.5,1001.36,220.9,24903.430000000004,0,201.37,43.8,1086.38,01779802,50,1030416650,00,VT,50,A,+44.0685773,1,1,Vermont,-072.6691839,G4000,23874175944,00000000000000000009
462.99,50.07,214.63,87.39,6389.13,26.34,32.8,140.29,941.22,1329.85,1829.36,820.92,14357.990000000002,0,815.18,212.79,1005.03,01779780,09,1815617571,00,CT,09,A,+41.5798637,1,1,Connecticut,-072.7466572,G4000,12542497068,0000000000000000000a
2241.05,1539.73,1062.59,783.29,12944.45,887.96,116.32,17930.21,869.64,29878.28,11816.48,649.48,91627.81999999999,0,385.86,119.51,10402.97,01779787,23,11746549764,00,ME,23,A,+45.4092843,1,1,Maine,-068.6666160,G4000,79887426037,00000000000000000025
736.8,179.49,267.33,347.1,4606.55,89.26,158.6,1753.07,947.93,4686.42,7101.0,1485.41,27331.76,0,1872.42,631.24,2469.14,00606926,25,7129925486,00,MA,25,A,+42.1565196,1,1,Massachusetts,-071.4895915,G4000,20205125364,00000000000000000033
863.03,97.41,1968.45,931.14,4117.11,66.26,101.05,765.51,1997.76,863.54,3456.15,1866.81,22591.289999999997,0,1281.09,614.7,3601.28,01779795,34,3544860246,00,NJ,34,A,+40.1072744,2,1,New Jersey,-074.6652012,G4000,19047825980,0000000000000000000e
16131.93,618.28,11791.8,160.96,59401.45,324.78,258.21,1338.69,5091.96,12832.17,3293.0,3466.08,119277.09999999999,0,1970.41,898.4,1698.98,01779798,42,3394589990,00,PA,42,A,+40.9024957,2,1,Pennsylvania,-077.8334514,G4000,115884442321,00000000000000000012
17537.6,423.07,11223.89,654.34,49498.8,382.84,225.29,9815.32,3968.74,12276.05,19249.74,2857.16,141283.35,0,2145.54,1048.39,9976.58,01779796,36,19246994695,00,NY,36,A,+42.9133974,2,1,New York,-075.5962723,G4000,122049149763,00000000000000000026
10163.59,382.28,97422.14,480.38,19448.67,55.96,170.43,138.07,2188.7,886.36,6390.07,5109.08,149994.46,0,2929.63,1117.48,3111.62,01779784,17,6214824948,00,IL,17,A,+40.1028754,3,2,Illinois,-089.1526108,G4000,143780567633,00000000000000000002
11473.94,888.82,43742.15,4367.66,36755.13,414.4,181.15,2370.6,2514.74,8775.15,29002.19,2403.32,169634.69,0,1391.6,460.25,24893.59,01779806,55,29344951758,00,WI,55,A,+44.6309071,3,2,Wisconsin,-089.7093916,G4000,140290039723,0000000000000000000f
